Module Name,Programme,Semester,Year,ID,Case study,Case Study de,Assignment,Communication,Competence Area,Content,Content Type,Coordinator,Description,Discussion,ECTS,Follow up module,Group work,Groupwork,ID Year,Individual work,Interactive instruction,Judgement,Knowledge,Language of instruction,Lecture,Level,Module Coordinator,Module Type,Online Tutorial,Oral exam,Other,Presentation,Project,Recommended Reading,Review of literature,Semester 1,Seminar,Simulation,Title,Written,Item Type
Consulting von Start-ups,BSc. Betriebsökonomie |,Autumn,2022,670,,,,Die Studierendenformulieren ihre Gedanken und Botschaften klar  nachvollziehbar und verständlich.treten vor einer Geschäftsleitung auf und überzeugen verbal und non-verbal.schreiben adressatengerecht und überzeugend.,implementieren und integrieren,Elemente einer Geschäftsidee (Business Model Canvas)Auftrittskompetenzen bei Pitch-  Expert-Financepanels und / oder der GeschäftsleitungBeratungsinstrumente Gesprächsführung mit Jungunternehmer/innenBegleitprozesse im Start-up-UmfeldCoaching/Beratung eines realen Start-upsPräsentieren vor einer GeschäftsleitungMarktanalyse und ProdukteinführungAnalyse eines realen Start-ups (Verfassen eines Berichtes),Item,,"Die digitale Transformation verändert die Formen des wirtschaftlichen Austauschs grundlegend und zwingt alle Beteiligten  neue Entwicklungen und Trends zu verstehen sowie die eigene Arbeit und sich selber permanent zu hinterfragen. Dabei müssen neue Ideen und betriebswirtschaftliche Konzepte nicht nur entwickelt  sondern auch praktisch umgesetzt werden können. Eine wertvolle Grundhaltung von Betriebsökonominnen und Betriebsökonomen wäre deswegen diejenige von Jungunternehmer/innen  die eigene Geschäftsideen entwickeln und die eigenen Dienstleistungen und / oder Produkte erfolgreich auf den Markt bringen  inner- oder ausserhalb einer Organisation. Das Fachmodul „Consulting von Start-ups"" ermöglicht nicht nur einen fundierten Einblick in die Denk- und Vorgehensweise realer Start-ups  die sich genau diesen Herausforderungen stellen  sondern vermittelt auch das analytische und methodische Rüstzeug  um Jungunternehmen gezielt zu unterstützen und – im Idealfall – marktfähiger zu machen. In diesem Modul werden die Studierenden auf die wichtigsten Kompetenzen sensibilisiert und die wichtigsten Methoden vermittelt  über die sowohl Start-ups wie auch Beratende von Start-ups verfügen müssen. Die Studierenden sind sich bewusst  welche Voraussetzungen es braucht und kennen die Herausforderungen. Entsprechend verstehen sie Chancen und Risiken von Geschäftsideen und sind in der Lage  den Jungunternehmer/innen realer Start-ups in ihrer Rolle als Beratende einen methodisch fundierten Mehrwert zu bieten. Sie entwickeln ein grundsätzliches Verständnis von Coaching und verstehen die Rolle von Coaches. Dabei lernen sie sowohl den Begleitprozess  der Startup Academy als auch den Beratungsprozess für Einzelpersonen und Teams kennen. Auf dieser Basis sind sie in der Lage  die Gestaltung  die Durchführung und die Nachbereitung von Workshops erfolgreich zu realisieren. Sie erweitern ihr betriebswirtschaftliches Fachvokabular gezielt und sind in der Lage  ihre Analysen und Beurteilungen schriftlich wie mündlich verständlich und überzeugend zu kommunizieren. Dabei erhalten die Studierenden Rückmeldungen zu ihren Stärken  Schwächen und Verbesserungspotenzialen durch die Jungunternehmer/innen  die Mentorinnen / Experten sowie die Dozierenden.",,5,,,,670_Herbst_2020,,,Die Studierendenbeurteilen Pitch-  Expert-Finance-Panel-Auftritte von Start-ups und / oder den eigenen Auftritt vor der Geschäftsleitung kritisch.können die Qualität von Geschäftsideen und deren praktische Umsetzung beurteilen und begründen.können bewerten  ob Lösungsansätze den gewünschten Nutzen erbracht haben.,Die Studierenden kennen die zentralen Kriterien für die Beurteilung einer guten Geschäftsidee.wissen  was Beratung ist im Start-up-Kontext bedeutet  und kennen Instrumente sowie deren Möglichkeiten und Grenzen.lernen sowohl den Begleitprozess der Startup Academy als auch den Beratungsprozess für Einzelpersonen und Teams kennenverstehen die Unterschiede zwischen den in der Schweiz bestehenden Begleitangeboten für Start-ups.,German,,Specialized,Florian Blumer|#95,Elective,,,,,,,,,,,Modul Beschreibung,,Item
SAP Zertifizierung,BSc. Wirtschaftsinformatik |BSc. Business Information Technology |,Autumn,2022,739,,,,?Die Studierenden ...beherrschen die SAP-spezifischen Terminologie und sind in der Lage  mit Fachpersonen dieses Umfelds in der Fachsprache zu kommunizieren.,Wahlmodul,SAP S/4HANA Enterprise Management: ÜberblickSAP FIORI UX – Das neue User InterfaceSAP S/4HANA GrundlagenFinancials accounting and Management Accounting: ÜberblickFinancial Accounting and Management Accounting: GrundlagenHuman Capital ManagementPurchase to pay in SAP S/4HANAPlan to produce in SAP S/4HANAWarehouse Management - UmlagerungOrder to Cash processing in SAP S/4HANAProject SystemEnterprise Asset ManagementZertifizierungsprüfung zu den vermittelten Inhalten,Item,,"   Dieses Wahlmodul eröffnet Ihnen die Möglichkeit  eine Einstiegszertifizierung namens ""TS410 - Integrierte Geschäftsprozesse"" im SAP S/4 HANA-Umfeld durchzuführen. Das erfolgreiche Bestehen führt zu dem bei Unternehmen anerkannten SAP-Zertifikat. Das Zertifikat richtet sich nicht exklusiv an Wirtschaftsinformatiker. Vielmehr spricht die SAP Personen an  die für ihre weitere berufliche Karriere Qualifikationen im Umgang mit SAP Produkten auf hohem  zertifizierten Niveau nachweisen möchten.",,5,,,,739_Herbst_2022,,,Die Studierenden ...können beurteilen  was die wesentlichen Stärken und Schwächen von SAP S/4 HANA sind. (Obj. 2.1),Die Studierenden kennen und verstehen ...die Grundkonzepte von SAP S/4 HANAdie Produktpalette von SAP als Softwareanbieterdie verschiedenen Bereiche von SAP S/4 HANAsowie die jeweils relevanten Daten  Prozesse und Auswertungen.wie die wesentlichen Geschäftsprozesse und deren Integration  zueinander in den Bereichen externes und internes Rechnungswesen   Beschaffung  Produktion  Vertrieb  Instandhaltung  Kundenservice   Projektmanagement und Personalwirtschaft innerhalb von SAP S/4 HANA  zusammenspielen. (Obj. 2.1),German,,Advanced,Bettina Schneider|#128,Elective,,,,,,,,,,,Modul Beschreibung,,Item
Requirements Engineering,BSc. Wirtschaftsinformatik |,Autumn,2022,457,,,,     ?Die Studierenden ...... können eine Anforderungsspezifikation adressatengerecht erstellen (Obj. 3.1).        ... können Anforderungen in natürlicher Sprache mit einer Satzschablone formulieren (Obj. 3.1).,Informatik,Vorgehensmodelle im Software EngineeringProzesse des Requirements Engineering (Erheben  Dokumentieren  Prüfen  Verwalten)Firmen- und Projektziele  Stakeholder- und KontextanalyseFunktionale und Nicht-funktionale AnforderungenUML Modellierung (die 5 - 6 wichtigsten Diagrammarten)DatenmodellierungGUI-MockupsAufwandsschätzung von Projekten ,Item,,Die Studierenden lernen verschiedene Konzepte und Methoden der Anforderungsanalyse kennen und setzen diese im Projekt korrekt ein. Bei der Erarbeitung der Dokumentation erhalten die Studierenden einen Einblick in die speziellen Herausforderungen des Anforderungsmanagements (z.B. Stakeholdermanagement  korrekte Dokumentation etc.).,,5,? ,,,457_Herbst_2022,,,?Die Studierenden ...... sind in der Lage  die Machbarkeit von Anforderungen zu beurteilen.... sind in der Lage  die Komplexität und den Aufwand eines Projektes abzuschätzen.,?Die Studierenden ...... verstehen die Prozesse und die Vorgangsweise beim Requirements Engineering.… kennen die Elemente der wichtigsten UML-Diagramme (Obj. 1.1). ,German,,Basic,Rainer Telesko|#238,Mandatory,,,,,,Klaus Pohl  Chris Rupp: Basiswissen Requirements Engineering  Aus- und Weiterbildung nach IREB-Standard zum Certified Professional for Requirements Engineering Foundation Level  5. überarbeitete Auflage  dpunkt.verlag  2021 Martina Seidl  Marion Scholz  Christian Huemer  Gerti Kappel: UML @ Classroom  dpunkt.verlag  2012Bernd Oestereich  Axel Scheithauer: Die UML-Kurzreferenz 2.5 für die Praxis: kurz  bündig  ballastfrei  6. aktualisierte Auflage  Oldenbourg Wissenschaftsverlag  2013,,,,,Modul Beschreibung,,Item
Business Communication 1 ,BSc. Business Administration |,Autumn,2022,374,,,Assignment,?- Plan and produce a holistic  well-structured and concise literature review (academic text)| apply academic writing conventions (Obj. 3.1) - Produce a piece of business writing containing objective  fair and logical argumentation (Obj. 3.1),communicate and lead ,Academic Writing  - Structure and style - Argumentation and evaluation of sources  - Construction of a coherent thesis - Techniques for recognizing and avoiding of plagiarism  Business Writing - Strategies for audience appropriate business messages - Planning and writing of persuasive positive and negative business messages,Item,,Business Communication 1 introduces students to academic and business writing – essential skills for any business student and future manager. One part of the module teaches students the conventions of academic writing and develops students' discipline-specific skills in close reading  brainstorming  critical analysis  research  writing and referencing. The other part of the module aims to develop students' skills in writing appropriate business messages for specific target groups. ,Discussion,5,?Research Paper,Group work,Group work,374_Autumn_2021,Individual work,Interactive instruction,?- Evaluate the viability of a research question for an academic text - Evaluate quality and relevance of sources pertinent to a topic - Evaluate and select media and channels for business messages,- Understand how texts vary depending on their message and the audience - Understand the importance of academic conventions and of acknowledging sources - Identify plagiarism in written work and use methods to avoid it (Obj. 3.1) - Differentiate direct from indirect communication approaches (Obj. 3.1) - Routinize effective strategies for writing business requests (Obj. 3.1),English,,Basic,Larssyn Staley|#308,Assessment,Online Tutorial,,Other,,,?Bailey  S. (2007). Academic Writing: A Handbook for International Students. Oxford:        Routledge. Bovee  & Thill. (2016). Business Communication Today (14 ed). Essex: Pearson Education.  Gillet  A. (2019  April 29). Using English for Academic Purposes. Retrieved from       http://www.uefap.com Göldi  S.  Künzi  S.  Pimmer  C.  Schrader  K. & Sprenger  B. (2016). Guide to the formal        presentation of scientific papers. Olten: FHNW School of Business. Sowton  C. (2006). 50 Steps to improve your academic writing. Reading  UK: Garnet        Publishing Van den Berg  G & Pietersma  P. (2014). Key management models: The 75+ models very        manager needs to know. (3 ed). Harlow: FT Publishing International. Winkler  A. and Metherell  J.R. (2012). Writing the Research Paper (8 ed). Independence  KY:        Cengage Learning,,,,,Module Description,written exam,Item
Business Mathematics 2,BSc. Business Information Technology |,Autumn,2022,568,,,,Students can express  in own words  mathematical results of methods from linear algebra. ,Foundation,Vectors and matrices  systems of linear equations  linear transformations  determinants  and eigenvalues and eigenvectors. ,Item,,Linear algebra is introduced through the lens of complex systems and artificial intelligence. It covers the fundamental concepts of vectors and matrices  systems of linear equations  linear transformations  determinants  and eigenvalues and eigenvectors. The course forms the basis for many advanced and modern topics such as complex systems science  artificial intelligence  machine learning  data science  and cryptography. It follows a virtual flipped classroom and is therefore taught entirely virtual and involves a large portion of guided and autonomous self-study. ,,5,     Business Intelligence IT Security,,,568_Autumn_2022,Individual work,,Students can interpret solutions and justify assumptions of methods from linear algebra. ,Students understand and are able to explain basic linear algebra concepts and are able to relate these basic linear algebra concepts to complex systems and artificial intelligence case studies. (Obj. 2.1) ,English,,Basic,Patrik Christen|#812,Mandatory,,,Other,,,David Poole. Linear Algebra: A Modern Introduction. 4th Edition  Cengage Learning  2015.  ,,Spring,,,Module Description,,Item
Programming 1,BSc. Business Information Technology |,Autumn,2022,478,,,Assignment,?Students ...... can interpret and document source code... can communicate about software using object oriented concepts (Obj. 1.1) ,Information Technology,Data types Input and output on the consoleControl structures (statements  selections  loops  etc.)Classes and objectsGraphical user interfacesLinear data structures (Arrays  ArrayLists)Selected further object oriented concepts (inheritance  interfaces  abstract classes) Simple exceptions ,Item,,?The goal of this course is to learn object-oriented programming. The course assumes no programming knowledge  and includes both simple procedural programming (statements  selections  loops  etc.) and basic concepts of object-oriented programming (classes  objects  inheritance  etc.). The course will be based on Java. ,Discussion,5,?Software Engineering,,Group work,478_Autumn_2022,Individual work,Interactive instruction,?Students ...... can explain and compare intermediate concepts of object-oriented programming (interfaces  abstract classes  etc.). (Obj 1.1) ... can correctly decide when these intermediate concepts should be applied. ,?Students ...... can understand existing source code ... know and understand basic concepts of programming,English,Lecture,Basic,Elzbieta Pustulka|#1522|#Patrik Christen|#812,Assessment,Online Tutorial,,,,, ,Review of literature,,,,Module Description,written exam,Item
Corporate Finance and Controlling,BSc. Business Information Technology |,Autumn,2022,896,Case study,,,?The students demonstrate the ability to think critically  to organize thoughts logically and to communicate persuasively elements of corporate finance and controlling to a target audience (Objective 3.1)  ,Business Administration,? Controlling Budgetary planning and control concepts Performance evaluation concepts Investments / Capital Budgeting           Net present value (present value  opportunity cost of capital  weighted average cost of capital) Discounted cash-flow analysis and other investment criteria (internal rate of return  payback method  profitability index) Weighted-average cost of capital and company valuation Economic Value Added Basics of Corporate Finance         Time value of money (future values  simple and compound interest  annuities  perpetuities)Risk  return  risk quantification  Financing         Debt financingEquity financing,Item,,?The course provides students the basic theories that help to plan and control company’s budget and make capital investments decisions. Different investment calculation methods  various types of financing and major valuation methods are covered. The course gives a in depth view into various aspects of the relevant models and concepts and therefore providing students with the basics to make responsible controlling  investing and financing decisions on an economically sound basis.,Discussion,5,,Group work,Group work,896_Spring_2022,Individual work,Interactive instruction,?The students... ... interpret a budgetary planning (Objective 2.2| 4.2) ... evaluate the financial performance of a company (Objective 2.2| 4.2) ... evaluate relevant influence factors on the investment decisions (Objective 2.2| 4.2)...evaluate the impact of relevant factors such as the capital structure on the company's value  (Objective 2.2| 4.2),?The students explain and describe (Obj. 2.2)......budgetary planning and control concepts...various capital investments methods ...basics of capital market theory...various valuation models…different financing instruments,English,Lecture,Intermediate,Brido Schuler|#742,Mandatory,Online Tutorial,,,,,,Review of literature,,,,Module Description,written exam,Item
Digital Enterprise,BSc. Business Information Technology |,Autumn,2022,849,Case study,,Assignment,?Students can ... ... communicate more extensive business processes and changes to such processes.... communicate the technical architecture used for distributed business processes.,Information Technology,Agile-Digital Enterprise and ProcessesAgile enterprise frameworks such as Scaled Agile Framework (SAFe)  Kanban or ScrumSoftware architectures with a focus on business process integrationDigital Workflows and IntegrationEnterprise Integration Patterns(Selected) Data Integration PatternsService-Based IntegrationMessaging based IntegrationDevOps and Continuous (Cloud) DeploymentCloud Computing and integration platformsService Lifecycle ManagementCurrent technology trends ,Item,, The ongoing digitalization impacts companies on all levels. This includes not only single business processes or applications but also the interaction of multiple organizational units and the cooperation between their customers  different companies  and their suppliers. However  this requires being a digital-agile enterprise and demands an integrated  dynamic  and flexible IT-Infrastructure. This module links together concepts learned in the previous information technology modules into an overall context from an agile enterprise and technical multi-perspective. With this  the students are prepared to apply the learned concepts in a business context to facilitate the digitalization and increase the agility of business processes by defining suitable solution concepts  appropriate user experiences  and selecting and applying suitable technologies.,Discussion,5,,,Group work,849_Spring_2022,Individual work,,?Students can ... ... select and justify suitable technologies for process digitalisation and integration.... explain and judge the impact of technical process changes.,?Students can ... ... recognise and describe the challenges of distributed and integrated business processes.... explain and review established as well as current architecture styles for integrated business processes.... select  describe  classify  and explain established technologies used for integrated business processes. ,English,Lecture,Advanced,Andreas Martin|#252|#Charuta Pande|#830,Mandatory,,,Other,,,??Will be announced during the lecture,Review of literature,,,,Module Description,,Item
Empirische Methoden und Business Analytics,BSc. Betriebsökonomie |,Spring,2022,617,,Fallstudien,,?Die Studierendenverwenden die korrekte Fachterminologie  (AoL 3.1)können Ergebnisse sowie Stärken  Schwächen und Grenzen einer Analyse klar und prägnant darstellen (AoL 3.1)können die quantitative und qualitative Forschung formal korrekt dokumentieren.,analysieren und entscheiden,?Alle Themen werden anhand von praktischen Problemen und Business Cases vermittelt. 50% der Inhalte sind den Empirische Methoden (EM) und 50% Business Analytics (BA) zuzuordnen. Empirische Forschungsprojekte (EM)Problembeschreibung  Forschungsfragen  Theorie- und Literaturrecherche  Modellbildung und Hypothesenformulierung  Operationalisierung  Forschungsdesign und Datenerhebung  Analyse und Interpretation der Ergebnisse als Entscheidungsgrundlage.Vertraulichkeit  Datenschutz  Datenverknüpfung  Anonymisierung. Datenerfassung (EM/BA)Umfrageforschung: Fragebogenentwurf und -prüfung  Stichprobenverfahren  Datenaufbereitung  Berichterstellung und Archivierung.Interviews: Die Logik der qualitativen Forschung  Arten der qualitativen Forschung  Arten der Interviewforschung  semi-strukturierte Interviews. Direkte und indirekte Beschaffung von (Sekundär-)Daten: Datenquellen und Datenaufbereitung  Stichprobenfragen  Datenqualität und Repräsentativität  Datenpflege. Analytik und Entscheidungsunterstützung (BA)Business Analytics Prozess  quantitative Methoden zur Beantwortung: Was ist passiert  warum ist es passiert  was wird passieren und was sollte getan werden?Analytische Techniken zur betriebswirtschaftlichen Problemlösung wie deskriptive Statistik  multiple und nichtlineare Regressionsanalyse  Zeitreihenanalyse  Textanalyse  Data-Mining  (Monte-Carlo) Simulation  Warteschlangentheorie  lineare Optimierung  etc.,Item,,Die digitale Transformation unserer Gesellschaften und Volkswirtschaften hat zu einem enormen Anstieg der für Unternehmen verfügbaren Daten geführt. Daher muss es das Ziel eines jeden Unternehmens sein  gute Daten zu sammeln und/oder zu kaufen und daraus verwertbares Wissen zu gewinnen. Dazu müssen Manager quantitative und qualitative empirische Methoden beherrschen  die Primärdaten direkt aus der Unternehmenspraxis generieren und fundiertes Wissen aus ihrer Analyse liefern. Im Modul Empirische Methoden und Business Analytics lernen die Studierenden die Prozesse  Methoden und Werkzeuge kennen  die notwendig sind  um Daten zu sammeln und in Wert zu setzen. Die Studierenden sind in der Lage  quantitative und qualitative Methoden und Techniken zur Analyse von umfangreichen Daten und Texten systematisch einzusetzen  um unternehmerische Entscheidungen zu unterstützen.,,5,?ProjektarbeitBachelothesis,,,617_Frühling_2022,,,?Die Studierendenerkennen den geeigneten Datenbedarf und Datenquellen  die für die Vorbereitung von Unternehmensentscheidungen erforderlich sind können passende Techniken zur Datenerhebung und -analyse auswählen  (AoL 1.1)können quantitative und qualitative Ergebnisse im geschäftlichen Kontext als Grundlage für unternehmerische Entscheidungen interpretieren und bewerten. (AoL 2.1),?Die Studierendenkönnen grundlegende Merkmale empirischer Methoden zur Datenerhebung und -analyse auflisten und beschreiben kennen die Schlüsselbegriffe von Business Analytics.,German,,Intermediate,,Mandatory,,,,,,?Wird durch die Dozierenden im Semester bekanntgegeben.,,,,,Modul Beschreibung,,Item
Work Experience - Semester 3 (Context / Focus / Project Work),BSc. Business Administration |,Autumn,2022,734,,,Assignment,The students - can write an understandable  grammatically and scientifically sound text. - develop their skills in poignant  clear and accurate business writing. - choose adequate wording.   ,,For information on the particular Work Experience report topics and tasks  - allocated to the specific semesters - students refer to the information provided in the guidelines document as well as on Moodle.   ,Item,, A key success factor in today's world of work is the ability to link theory and practice. The challenges encountered on the job are tackled more efficiently and effectively with both a systematic and practical approach emerging from knowledge and experience. Making the reciprocal transfer between these two is the main objective of this 'Work Experience' module group. Students explore the relationships between their work environment and the theory studied in their degree programme. Students who pursue a commercial activity of at least 50% alongside their studies can credit this work experience if they write a well-founded  meaningful report. Report topics are defined by the particular semesters students register for the Work Experience module. A maximum of 3 such modules or a total of 15 ECTS points can be gained. Work experience modules replace either a Context Module  a Focus Module or the Project Work Module from the BSc IM curriculum.  ,,5,?none ,,,734_Autumn_2022,Individual work,, The students - justify their choice of topics and the approach they have chosen. - assess the applicability  benefits and limits of selected module learning content against the background of their professional practice and make recommendations for work and school.   ,The students - explain links between practice and management theories  models and concepts and draw conclusions from professional practice. - convey the interplay between profession and studies and reflect your experiences and impressions.,English,,Intermediate,,Elective,,,,,,?Literature from the modules  as well as further literature as required.,Review of literature,,,,Module Description,,Item
